Phenotype,Ontology,GO_Term,Description,P_value,FDR q-value,Enrichment,N,B,n,b,Eliminated,Genes,Caste,Development
EQ,Process,GO:0007389,pattern specification process,2.70E-07,3.24E-04,2.96,6226,326,174,27,0,"[Pc  -  polycomb, cora  -  coracle, l(2)gl  -  lethal (2) giant larvae, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, dm  -  diminutive, nkd  -  naked cuticle, BicD  -  bicaudal d, nito  -  spenito, slmb  -  supernumerary limbs, lilli  -  lilliputian, cbt  -  cabut, robo  -  roundabout, sob  -  sister of odd and bowl, arm  -  armadillo, Lim1  -  cg11354 gene product from transcript cg11354-rb, pygo  -  pygopus, wkd  -  whacked, H  -  hairless, f  -  forked, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch, Syp  -  syncrip, Slh  -  sly-1 homologous, caup  -  caupolican, dan  -  distal antenna, ft  -  fat, Dl  -  delta]",queen,Early (EQ)
EQ,Process,GO:0007391,dorsal closure,7.24E-04,7.14E-02,3.66,6226,88,174,9,1,"[ena  -  enabled, Nrx-IV  -  neurexin iv, cora  -  coracle, l(2)gl  -  lethal (2) giant larvae, cbt  -  cabut, Btk29A  -  btk family kinase at 29a, arm  -  armadillo, ed  -  echinoid, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0007447,imaginal disc pattern formation,3.62E-05,9.31E-03,4.37,6226,90,174,11,1,"[Slh  -  sly-1 homologous, lilli  -  lilliputian, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, Dl  -  delta, ft  -  fat, cbt  -  cabut, Lim1  -  cg11354 gene product from transcript cg11354-rb, H  -  hairless, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, nito  -  spenito, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0007450,"dorsal/ventral pattern formation, imaginal disc",2.38E-05,6.58E-03,6.51,6226,44,174,8,1,"[Slh  -  sly-1 homologous, lilli  -  lilliputian, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, Dl  -  delta, cbt  -  cabut, H  -  hairless, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0007610,behavior,1.63E-04,2.60E-02,2.33,6226,338,174,22,0,"[S6k  -  rps6-p70-protein kinase, nej  -  nejire, Shab  -  shaker cognate b, itp  -  ion transport peptide, tutl  -  turtle, Pka-R2  -  camp-dependent protein kinase r2, Nrg  -  neuroglian, jhamt  -  juvenile hormone acid methyltransferase, brp  -  bruchpilot, Ir8a  -  ionotropic receptor 8a, orb2  -  cg43782 gene product from transcript cg43782-rh, vsg  -  visgun, slmb  -  supernumerary limbs, mle  -  maleless, lilli  -  lilliputian, ash1  -  absent, small, or homeotic discs 1, tilB  -  touch insensitive larva b, arm  -  armadillo, Btk29A  -  btk family kinase at 29a, drk  -  downstream of receptor kinase, HDAC4  -  cg1770 gene product from transcript cg1770-rg, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0009653,anatomical structure morphogenesis,4.55E-09,1.64E-05,2.43,6226,677,174,46,0,"[nej  -  nejire, S6k  -  rps6-p70-protein kinase, sr  -  stripe, Mitf  -  cg43369 gene product from transcript cg43369-ra, cora  -  coracle, l(2)gl  -  lethal (2) giant larvae, gho  -  ghost, betaCop  -  beta-coatomer protein, LanA  -  laminin a, salm  -  spalt major, CkIalpha  -  casein kinase ialpha, ena  -  enabled, grh  -  grainy head, ttk  -  tramtrack, Nrx-IV  -  neurexin iv, slmb  -  supernumerary limbs, ArfGAP3  -  adp-ribosylation factor gtpase activating protein 3, cbt  -  cabut, robo  -  roundabout, sob  -  sister of odd and bowl, arm  -  armadillo, pygo  -  pygopus, Lim1  -  cg11354 gene product from transcript cg11354-rb, H  -  hairless, f  -  forked, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch, yki  -  yorkie, Tollo  -  cg6890 gene product from transcript cg6890-ra, Hem  -  hem-protein, Slh  -  sly-1 homologous, Shroom  -  cg34379 gene product from transcript cg34379-rd, caup  -  caupolican, deltaCOP  -  delta-coatomer protein, Nhe2  -  na[+]/h[+] hydrogen exchanger 2, rap  -  retina aberrant in pattern, chrb  -  charybde, Nrg  -  neuroglian, dan  -  distal antenna, Gbeta13F  -  g protein beta-subunit 13f, ft  -  fat, Dl  -  delta, Btk29A  -  btk family kinase at 29a, ed  -  echinoid, drk  -  downstream of receptor kinase, Pka-C3  -  camp-dependent protein kinase 3]",queen,Early (EQ)
EQ,Process,GO:0009886,post-embryonic animal morphogenesis,4.49E-04,5.48E-02,2.34,6226,291,174,19,0,"[deltaCOP  -  delta-coatomer protein, l(2)gl  -  lethal (2) giant larvae, rap  -  retina aberrant in pattern, salm  -  spalt major, Nrg  -  neuroglian, cbt  -  cabut, Dl  -  delta, ft  -  fat, arm  -  armadillo, sob  -  sister of odd and bowl, pygo  -  pygopus, ed  -  echinoid, Lim1  -  cg11354 gene product from transcript cg11354-rb, Pka-C3  -  camp-dependent protein kinase 3, drk  -  downstream of receptor kinase, H  -  hairless, f  -  forked, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0009887,animal organ morphogenesis,3.85E-07,3.96E-04,3.28,6226,251,174,23,1,"[nej  -  nejire, Hem  -  hem-protein, Mitf  -  cg43369 gene product from transcript cg43369-ra, caup  -  caupolican, deltaCOP  -  delta-coatomer protein, l(2)gl  -  lethal (2) giant larvae, Nhe2  -  na[+]/h[+] hydrogen exchanger 2, rap  -  retina aberrant in pattern, LanA  -  laminin a, salm  -  spalt major, Nrg  -  neuroglian, ena  -  enabled, ArfGAP3  -  adp-ribosylation factor gtpase activating protein 3, cbt  -  cabut, Dl  -  delta, arm  -  armadillo, Btk29A  -  btk family kinase at 29a, pygo  -  pygopus, ed  -  echinoid, f  -  forked, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch, yki  -  yorkie]",queen,Early (EQ)
EQ,Process,GO:0009891,positive regulation of biosynthetic process,7.66E-04,7.35E-02,2.04,6226,403,174,23,1,"[nej  -  nejire, slbo  -  slow border cells, CG12769  -  cg12769 gene product from transcript cg12769-rb, Mitf  -  cg43369 gene product from transcript cg43369-ra, caup  -  caupolican, dm  -  diminutive, Xbp1  -  x box binding protein-1, orb2  -  cg43782 gene product from transcript cg43782-rh, grh  -  grainy head, ttk  -  tramtrack, mle  -  maleless, lilli  -  lilliputian, ash1  -  absent, small, or homeotic discs 1, cbt  -  cabut, Dp1  -  dodeca-satellite-binding protein 1, CG8677  -  cg8677 gene product from transcript cg8677-rb, arm  -  armadillo, sob  -  sister of odd and bowl, pygo  -  pygopus, Lim1  -  cg11354 gene product from transcript cg11354-rb, MED1  -  mediator complex subunit 1, yki  -  yorkie, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0009953,dorsal/ventral pattern formation,5.60E-04,6.20E-02,4.21,6226,68,174,8,1,"[Slh  -  sly-1 homologous, lilli  -  lilliputian, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, Dl  -  delta, cbt  -  cabut, H  -  hairless, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0010557,positive regulation of macromolecule biosynthetic process,3.10E-04,4.28E-02,2.18,6226,378,174,23,1,"[nej  -  nejire, slbo  -  slow border cells, CG12769  -  cg12769 gene product from transcript cg12769-rb, Mitf  -  cg43369 gene product from transcript cg43369-ra, caup  -  caupolican, dm  -  diminutive, Xbp1  -  x box binding protein-1, orb2  -  cg43782 gene product from transcript cg43782-rh, grh  -  grainy head, ttk  -  tramtrack, mle  -  maleless, lilli  -  lilliputian, ash1  -  absent, small, or homeotic discs 1, cbt  -  cabut, Dp1  -  dodeca-satellite-binding protein 1, CG8677  -  cg8677 gene product from transcript cg8677-rb, arm  -  armadillo, sob  -  sister of odd and bowl, pygo  -  pygopus, Lim1  -  cg11354 gene product from transcript cg11354-rb, MED1  -  mediator complex subunit 1, N  -  notch, yki  -  yorkie]",queen,Early (EQ)
EQ,Process,GO:0010604,positive regulation of macromolecule metabolic process,3.88E-04,5.17E-02,1.85,6226,618,174,32,1,"[nej  -  nejire, CG30497  -  cg30497 gene product from transcript cg30497-rd, slbo  -  slow border cells, CG12769  -  cg12769 gene product from transcript cg12769-rb, Mitf  -  cg43369 gene product from transcript cg43369-ra, HtrA2  -  cg8464 gene product from transcript cg8464-rb, dm  -  diminutive, nito  -  spenito, CG8184  -  cg8184 gene product from transcript cg8184-rb, Xbp1  -  x box binding protein-1, CkIalpha  -  casein kinase ialpha, grh  -  grainy head, ttk  -  tramtrack, mle  -  maleless, slmb  -  supernumerary limbs, lilli  -  lilliputian, cbt  -  cabut, Dp1  -  dodeca-satellite-binding protein 1, CG8677  -  cg8677 gene product from transcript cg8677-rb, sob  -  sister of odd and bowl, arm  -  armadillo, pygo  -  pygopus, Lim1  -  cg11354 gene product from transcript cg11354-rb, MED1  -  mediator complex subunit 1, N  -  notch, yki  -  yorkie, caup  -  caupolican, rap  -  retina aberrant in pattern, CG5604  -  cg5604 gene product from transcript cg5604-ra, orb2  -  cg43782 gene product from transcript cg43782-rh, ash1  -  absent, small, or homeotic discs 1, drk  -  downstream of receptor kinase]",queen,Early (EQ)
EQ,Process,GO:0010628,positive regulation of gene expression,1.66E-04,2.61E-02,2.18,6226,411,174,25,0,"[nej  -  nejire, CG30497  -  cg30497 gene product from transcript cg30497-rd, slbo  -  slow border cells, CG12769  -  cg12769 gene product from transcript cg12769-rb, Mitf  -  cg43369 gene product from transcript cg43369-ra, dm  -  diminutive, nito  -  spenito, Xbp1  -  x box binding protein-1, grh  -  grainy head, ttk  -  tramtrack, mle  -  maleless, lilli  -  lilliputian, Dp1  -  dodeca-satellite-binding protein 1, cbt  -  cabut, CG8677  -  cg8677 gene product from transcript cg8677-rb, sob  -  sister of odd and bowl, arm  -  armadillo, Lim1  -  cg11354 gene product from transcript cg11354-rb, pygo  -  pygopus, N  -  notch, yki  -  yorkie, MED1  -  mediator complex subunit 1, caup  -  caupolican, orb2  -  cg43782 gene product from transcript cg43782-rh, ash1  -  absent, small, or homeotic discs 1]",queen,Early (EQ)
EQ,Process,GO:0010721,negative regulation of cell development,7.95E-05,1.55E-02,4.88,6226,66,174,9,1,"[Kr-h1  -  kruppel homolog 1, cdi  -  center divider, ttk  -  tramtrack, slmb  -  supernumerary limbs, l(2)gl  -  lethal (2) giant larvae, Dl  -  delta, ed  -  echinoid, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0016331,morphogenesis of embryonic epithelium,9.25E-04,8.12E-02,3.54,6226,91,174,9,1,"[ena  -  enabled, Nrx-IV  -  neurexin iv, cora  -  coracle, l(2)gl  -  lethal (2) giant larvae, cbt  -  cabut, Btk29A  -  btk family kinase at 29a, arm  -  armadillo, ed  -  echinoid, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0022407,regulation of cell-cell adhesion,4.44E-04,5.51E-02,7.45,6226,24,174,5,1,"[gho  -  ghost, robo  -  roundabout, arm  -  armadillo, pygo  -  pygopus, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0022610,biological adhesion,9.15E-06,3.47E-03,4.27,6226,109,174,13,0,"[beat-IIIc  -  cg15138 gene product from transcript cg15138-ra, Hem  -  hem-protein, tutl  -  turtle, cora  -  coracle, LanA  -  laminin a, Nrg  -  neuroglian, Cals  -  calsyntenin-1, Gbeta13F  -  g protein beta-subunit 13f, Nlg1  -  neuroligin 1, Nrx-IV  -  neurexin iv, ft  -  fat, arm  -  armadillo, ed  -  echinoid]",queen,Early (EQ)
EQ,Process,GO:0030155,regulation of cell adhesion,7.16E-05,1.43E-02,6.59,6226,38,174,7,1,"[plexB  -  plexin b, gho  -  ghost, robo  -  roundabout, arm  -  armadillo, LanA  -  laminin a, pygo  -  pygopus, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0031328,positive regulation of cellular biosynthetic process,7.66E-04,7.25E-02,2.04,6226,403,174,23,1,"[nej  -  nejire, slbo  -  slow border cells, CG12769  -  cg12769 gene product from transcript cg12769-rb, Mitf  -  cg43369 gene product from transcript cg43369-ra, caup  -  caupolican, dm  -  diminutive, Xbp1  -  x box binding protein-1, orb2  -  cg43782 gene product from transcript cg43782-rh, grh  -  grainy head, ttk  -  tramtrack, mle  -  maleless, lilli  -  lilliputian, ash1  -  absent, small, or homeotic discs 1, cbt  -  cabut, Dp1  -  dodeca-satellite-binding protein 1, CG8677  -  cg8677 gene product from transcript cg8677-rb, arm  -  armadillo, sob  -  sister of odd and bowl, pygo  -  pygopus, Lim1  -  cg11354 gene product from transcript cg11354-rb, MED1  -  mediator complex subunit 1, yki  -  yorkie, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0032501,multicellular organismal process,4.35E-08,1.04E-04,2.01,6226,1014,174,57,0,"[Spred  -  sprouty-related protein with evh-1 domain, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, l(2)gl  -  lethal (2) giant larvae, dm  -  diminutive, nkd  -  naked cuticle, Trh  -  tryptophan hydroxylase, Sug  -  cg7334 gene product from transcript cg7334-re, Cht5  -  cg9307 gene product from transcript cg9307-ra, vsg  -  visgun, ttk  -  tramtrack, mle  -  maleless, slmb  -  supernumerary limbs, lilli  -  lilliputian, arm  -  armadillo, Lim1  -  cg11354 gene product from transcript cg11354-rb, N  -  notch, dpr13  -  cg33996 gene product from transcript cg33996-rb, Slh  -  sly-1 homologous, Shab  -  shaker cognate b, Pka-R2  -  camp-dependent protein kinase r2, Kr-h1  -  kruppel homolog 1, orb2  -  cg43782 gene product from transcript cg43782-rh, brp  -  bruchpilot, ash1  -  absent, small, or homeotic discs 1, tilB  -  touch insensitive larva b, Btk29A  -  btk family kinase at 29a, drk  -  downstream of receptor kinase, Chd64  -  cg14996 gene product from transcript cg14996-rb, nej  -  nejire, S6k  -  rps6-p70-protein kinase, Pc  -  polycomb, cora  -  coracle, gho  -  ghost, BicD  -  bicaudal d, nito  -  spenito, salm  -  spalt major, dpr11  -  cg33202 gene product from transcript cg33202-rc, Nrx-IV  -  neurexin iv, cbt  -  cabut, robo  -  roundabout, sob  -  sister of odd and bowl, pygo  -  pygopus, wkd  -  whacked, H  -  hairless, HDAC4  -  cg1770 gene product from transcript cg1770-rg, f  -  forked, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, Syp  -  syncrip, Tmhs  -  tetraspan membrane protein in hair cell stereocilia ortholog, caup  -  caupolican, tutl  -  turtle, lobo  -  lost boys, dan  -  distal antenna, Ir8a  -  ionotropic receptor 8a, ft  -  fat, Dl  -  delta, spok  -  spookier]",queen,Early (EQ)
EQ,Process,GO:0032502,developmental process,4.34E-09,3.12E-05,1.82,6226,1515,174,77,0,"[MESR4  -  misexpression suppressor of ras 4, sr  -  stripe, Spred  -  sprouty-related protein with evh-1 domain, Mitf  -  cg43369 gene product from transcript cg43369-ra, l(2)gl  -  lethal (2) giant larvae, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, betaCop  -  beta-coatomer protein, nkd  -  naked cuticle, dm  -  diminutive, LanA  -  laminin a, Trh  -  tryptophan hydroxylase, Cht5  -  cg9307 gene product from transcript cg9307-ra, ttk  -  tramtrack, slmb  -  supernumerary limbs, mle  -  maleless, lilli  -  lilliputian, arm  -  armadillo, Lim1  -  cg11354 gene product from transcript cg11354-rb, N  -  notch, yki  -  yorkie, Hem  -  hem-protein, Slh  -  sly-1 homologous, Cip4  -  cg15015 gene product from transcript cg15015-rj, rap  -  retina aberrant in pattern, knk  -  knickkopf, Kr-h1  -  kruppel homolog 1, Fs(2)Ket  -  female sterile (2) ketel, Nrg  -  neuroglian, dock  -  dreadlocks, Gbeta13F  -  g protein beta-subunit 13f, Nlg1  -  neuroligin 1, orb2  -  cg43782 gene product from transcript cg43782-rh, ash1  -  absent, small, or homeotic discs 1, Btk29A  -  btk family kinase at 29a, drk  -  downstream of receptor kinase, S6k  -  rps6-p70-protein kinase, nej  -  nejire, a  -  arc, Pc  -  polycomb, HtrA2  -  cg8464 gene product from transcript cg8464-rb, cora  -  coracle, gho  -  ghost, BicD  -  bicaudal d, Cul-2  -  cullin-2, nito  -  spenito, salm  -  spalt major, CkIalpha  -  casein kinase ialpha, grh  -  grainy head, ena  -  enabled, Nrx-IV  -  neurexin iv, ArfGAP3  -  adp-ribosylation factor gtpase activating protein 3, cbt  -  cabut, robo  -  roundabout, sob  -  sister of odd and bowl, pygo  -  pygopus, H  -  hairless, wkd  -  whacked, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, f  -  forked, Tollo  -  cg6890 gene product from transcript cg6890-ra, Syp  -  syncrip, CHES-1-like  -  checkpoint suppressor homologue, Shroom  -  cg34379 gene product from transcript cg34379-rd, deltaCOP  -  delta-coatomer protein, CG34417  -  cg34417 gene product from transcript cg34417-ri, caup  -  caupolican, tutl  -  turtle, Nhe2  -  na[+]/h[+] hydrogen exchanger 2, CG5604  -  cg5604 gene product from transcript cg5604-ra, PI4KIIIalpha  -  phosphatidylinositol 4-kinase iii alpha, chrb  -  charybde, dan  -  distal antenna, alpha-Spec  -  alpha spectrin, Dl  -  delta, ft  -  fat, ed  -  echinoid, Pka-C3  -  camp-dependent protein kinase 3]",queen,Early (EQ)
EQ,Process,GO:0032878,regulation of establishment or maintenance of cell polarity,7.77E-04,6.99E-02,35.78,6226,2,174,2,0,"[slmb  -  supernumerary limbs, l(2)gl  -  lethal (2) giant larvae]",queen,Early (EQ)
EQ,Process,GO:0032879,regulation of localization,6.91E-04,7.00E-02,2.06,6226,400,174,23,0,"[S6k  -  rps6-p70-protein kinase, slbo  -  slow border cells, Slh  -  sly-1 homologous, plexB  -  plexin b, CG18675  -  cg18675 gene product from transcript cg18675-ra, deltaCOP  -  delta-coatomer protein, Teh4  -  tipe homolog 4, CG7956  -  cg7956 gene product from transcript cg7956-rd, l(2)gl  -  lethal (2) giant larvae, gho  -  ghost, betaCop  -  beta-coatomer protein, BicD  -  bicaudal d, LanA  -  laminin a, Fs(2)Ket  -  female sterile (2) ketel, ena  -  enabled, ttk  -  tramtrack, slmb  -  supernumerary limbs, lilli  -  lilliputian, ft  -  fat, robo  -  roundabout, CG17360  -  cg17360 gene product from transcript cg17360-ra, drk  -  downstream of receptor kinase, sec71  -  cg7578 gene product from transcript cg7578-ra]",queen,Early (EQ)
EQ,Process,GO:0032989,cellular component morphogenesis,6.81E-04,7.00E-02,2.48,6226,231,174,16,1,"[S6k  -  rps6-p70-protein kinase, Hem  -  hem-protein, Slh  -  sly-1 homologous, Shroom  -  cg34379 gene product from transcript cg34379-rd, gho  -  ghost, betaCop  -  beta-coatomer protein, LanA  -  laminin a, Nrg  -  neuroglian, CkIalpha  -  casein kinase ialpha, grh  -  grainy head, ena  -  enabled, slmb  -  supernumerary limbs, Dl  -  delta, robo  -  roundabout, arm  -  armadillo, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0035150,regulation of tube size,5.55E-06,2.50E-03,6.71,6226,48,174,9,0,"[Nrg  -  neuroglian, deltaCOP  -  delta-coatomer protein, grh  -  grainy head, ttk  -  tramtrack, Nrx-IV  -  neurexin iv, cora  -  coracle, ft  -  fat, gho  -  ghost, knk  -  knickkopf]",queen,Early (EQ)
EQ,Process,GO:0035151,"regulation of tube size, open tracheal system",2.58E-06,1.33E-03,7.32,6226,44,174,9,0,"[Nrg  -  neuroglian, deltaCOP  -  delta-coatomer protein, grh  -  grainy head, ttk  -  tramtrack, Nrx-IV  -  neurexin iv, cora  -  coracle, ft  -  fat, gho  -  ghost, knk  -  knickkopf]",queen,Early (EQ)
EQ,Process,GO:0035152,"regulation of tube architecture, open tracheal system",6.10E-05,1.33E-02,4.53,6226,79,174,10,1,"[Nrg  -  neuroglian, deltaCOP  -  delta-coatomer protein, grh  -  grainy head, ttk  -  tramtrack, Nrx-IV  -  neurexin iv, cora  -  coracle, ft  -  fat, gho  -  ghost, wkd  -  whacked, knk  -  knickkopf]",queen,Early (EQ)
EQ,Process,GO:0035222,wing disc pattern formation,7.95E-05,1.51E-02,4.88,6226,66,174,9,1,"[Slh  -  sly-1 homologous, lilli  -  lilliputian, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, Dl  -  delta, cbt  -  cabut, H  -  hairless, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, nito  -  spenito, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0042480,negative regulation of eye photoreceptor cell development,7.77E-04,6.90E-02,35.78,6226,2,174,2,1,"[Kr-h1  -  kruppel homolog 1, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0045316,negative regulation of compound eye photoreceptor development,7.77E-04,7.08E-02,35.78,6226,2,174,2,1,"[Kr-h1  -  kruppel homolog 1, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0045466,R7 cell differentiation,6.66E-05,1.41E-02,15.9,6226,9,174,4,1,"[nej  -  nejire, Dl  -  delta, N  -  notch, salm  -  spalt major]",queen,Early (EQ)
EQ,Process,GO:0045595,regulation of cell differentiation,5.94E-04,6.39E-02,2.17,6226,346,174,21,1,"[S6k  -  rps6-p70-protein kinase, slbo  -  slow border cells, plexB  -  plexin b, tutl  -  turtle, l(2)gl  -  lethal (2) giant larvae, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, dm  -  diminutive, nito  -  spenito, salm  -  spalt major, Kr-h1  -  kruppel homolog 1, cdi  -  center divider, grh  -  grainy head, ttk  -  tramtrack, slmb  -  supernumerary limbs, Dl  -  delta, robo  -  roundabout, ed  -  echinoid, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch, yki  -  yorkie, sec71  -  cg7578 gene product from transcript cg7578-ra]",queen,Early (EQ)
EQ,Process,GO:0045596,negative regulation of cell differentiation,5.46E-05,1.27E-02,4.19,6226,94,174,11,1,"[Kr-h1  -  kruppel homolog 1, cdi  -  center divider, ttk  -  tramtrack, slmb  -  supernumerary limbs, l(2)gl  -  lethal (2) giant larvae, Dl  -  delta, ed  -  echinoid, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, nito  -  spenito, salm  -  spalt major, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0045665,negative regulation of neuron differentiation,9.38E-04,8.04E-02,6.39,6226,28,174,5,1,"[Kr-h1  -  kruppel homolog 1, cdi  -  center divider, ttk  -  tramtrack, ed  -  echinoid, N  -  notch]",queen,Early (EQ)
